Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
HISTO_ZL.Contig658.eannot.1267.final_new_mrna	0.012	No mitochondrial presequence	26(MPP)	0.115		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_EA.Contig33-snap.152.final_new_mrna	0.010	No mitochondrial presequence	61(MPP)	-0.066	58-62	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131.Fgenesh_Aspergillus.169.final_new_mrna	0.016	No mitochondrial presequence	32(MPP), 33(Icp55)	0.094		15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AZ.Contig47.eannot.1595.final_new_mrna	0.415	Possessing mitochondrial presequence	42(MPP), 43(Icp55)	0.048	12-16,39-43	3-12-high	-	-	-	-	12-17	-	-	-	-	-	-	-	-	-	
HISTO_EA.Contig33.eannot.1633.final_new_mrna	0.030	No mitochondrial presequence	12(MPP)	0.000	9-13,13-17,28-32	11-20-high	-	-	-	-	-	-	-	-	-	-	-	12-17	13-18	-	
HISTO_ZT.Contig1089.Fgenesh_histo.183.final_new_mrna	0.027	No mitochondrial presequence	60(MPP)	0.083		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AL.Contig317-snap.16.final_new_mrna	0.008	No mitochondrial presequence	54(MPP), 55(Icp55)	0.037	15-19,51-55	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DU.Contig190.Fgenesh_histo.61.final_new_mrna	0.000	No mitochondrial presequence	64(MPP)	0.109	37-41	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig940.fgenesh_plus.23.final_new_mrna	0.011	No mitochondrial presequence	20(MPP)	0.200	13-17	8-17-high	-	-	-	-	-	-	17-22	-	-	16-21	-	-	-	-	
HISTO_DA.Contig93.Fgenesh_Neurospora.270.final_new_mrna	0.354	No mitochondrial presequence	43(MPP)	0.140		7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FE.Contig19.eannot.1930.final_new_mrna	0.000	No mitochondrial presequence	59(MPP)	0.000		21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZU.Contig65.fgenesh_plus.97.final_new_mrna	0.012	No mitochondrial presequence	57(MPP)	0.175		18-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DU.Contig190-snap.20.final_new_mrna	0.012	No mitochondrial presequence	18(MPP)	-0.056	44-48,79-83	17-26-high	18-23	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig1089.Fgenesh_Aspergillus.98.final_new_mrna	0.006	No mitochondrial presequence	84(MPP)	-0.036		6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig601.Fgenesh_histo.42.final_new_mrna	0.000	No mitochondrial presequence	30(MPP)	0.000		13-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig459.Fgenesh_histo.43.final_new_mrna	0.028	No mitochondrial presequence	13(MPP)	0.077	2-6	12-21-low	-	-	-	-	-	-	-	-	-	-	-	1-6	2-7	-	
HISTO_JG.Contig40.genewise.1.final_new_mrna	0.012	No mitochondrial presequence	24(MPP)	-0.042		8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DY.Contig31.Fgenesh_histo.109.final_new_mrna	0.000	No mitochondrial presequence	81(MPP)	-0.049		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_IAA.Contig30.eannot.1025.final_new_mrna	0.061	No mitochondrial presequence	12(MPP)	0.167	4-8,29-33	1-10-high	-	-	-	-	4-9	-	-	-	-	-	-	-	-	-	
HISTO_BQ.Contig243.Fgenesh_Aspergillus.45.final_new_mrna	0.018	No mitochondrial presequence	16(MPP), 17(Icp55)	-0.062	67-71	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.eannot.1934.final_new_mrna	0.000	No mitochondrial presequence	37(MPP)	0.000	35-39	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig933.Fgenesh_histo.146.final_new_mrna	0.003	No mitochondrial presequence	26(MPP)	0.077	23-27,48-52,76-80	15-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131.Fgenesh_histo.86.final_new_mrna	0.000	No mitochondrial presequence	18(MPP)	0.056		16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HF.Contig5.Fgenesh_histo.1.final_new_mrna	0.041	No mitochondrial presequence	19(MPP)	-0.053	16-20	12-21-high	-	-	-	-	-	-	-	-	-	-	-	15-20	-	-	
HISTO_AB.Contig7.Fgenesh_Aspergillus.7.final_new_mrna	0.004	No mitochondrial presequence	91(MPP)	0.011	63-67	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DF.Contig537.Fgenesh_histo.17.final_new_mrna	0.000	No mitochondrial presequence	28(MPP)	-0.071		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig68-snap.6.final_new_mrna	0.003	No mitochondrial presequence	62(MPP), 70(Oct1)	0.000		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GB.Contig114.genewise.26.final_new_mrna	0.010	No mitochondrial presequence	8(MPP)	0.375	64-68,87-91,92-96	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig93.fgenesh_plus.122.final_new_mrna	0.004	No mitochondrial presequence	20(MPP)	0.050	32-36	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GY.Contig460.Fgenesh_Neurospora.12.final_new_mrna	0.019	No mitochondrial presequence	44(MPP)	0.114	21-25,24-28	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JG.Contig206.eannot.1564.final_new_mrna	0.000	No mitochondrial presequence	48(MPP)	0.042	63-67	1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161d-snap.50.final_new_mrna	0.000	No mitochondrial presequence	8(MPP)	-0.250	13-17	11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig1129.Fgenesh_histo.7.final_new_mrna	0.000	No mitochondrial presequence	47(MPP)	-0.021	44-48	14-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FE.Contig19.Fgenesh_histo.164.final_new_mrna	0.019	No mitochondrial presequence	69(MPP)	0.058	56-60	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
REPEAT_NAA.Contig17f.Fgenesh_Aspergillus.5.final_new_mrna	0.004	No mitochondrial presequence	95(MPP)	0.032		15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AL.Contig320.fgenesh_plus.14.final_new_mrna	0.018	No mitochondrial presequence	7(MPP), 8(Icp55)	0.571	34-38	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LS.Contig117.eannot.1038.final_new_mrna	0.000	No mitochondrial presequence	86(MPP)	-0.105		20-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_IH.Contig49.Fgenesh_Aspergillus.9.final_new_mrna	0.000	No mitochondrial presequence	10(MPP)	-0.300		9-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127c.Fgenesh_histo.147.final_new_mrna	0.005	No mitochondrial presequence	53(MPP)	0.094	72-76	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig68-snap.184.final_new_mrna	0.000	No mitochondrial presequence	19(MPP)	-0.158		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BQ.Contig243.eannot.1086.final_new_mrna	0.019	No mitochondrial presequence	12(MPP)	0.000		2-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LG.Contig392.fgenesh_plus.114.final_new_mrna	0.008	No mitochondrial presequence	27(MPP)	0.037	90-94	1-10-low	-	-	-	-	-	-	-	18-23	-	-	-	-	-	-	
HISTO_AZ.Contig47.eannot.1627.final_new_mrna	0.000	No mitochondrial presequence	41(MPP)	-0.073	75-79	1-10-low	6-11	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.Fgenesh_histo.246.final_new_mrna	0.006	No mitochondrial presequence	53(MPP)	0.132	40-44,81-85	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127b-snap.39.final_new_mrna	0.004	No mitochondrial presequence	67(MPP)	-0.030		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127a.Fgenesh_histo.56.final_new_mrna	0.000	No mitochondrial presequence	72(MPP)	0.000	36-40	12-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131.eannot.1992.final_new_mrna	0.000	No mitochondrial presequence	45(MPP)	-0.111	57-61,60-64	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127b.eannot.1426.final_new_mrna	0.017	No mitochondrial presequence	4(MPP)	0.000		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127c.eannot.1613.final_new_mrna	0.000	No mitochondrial presequence	12(MPP)	-0.083	9-13,96-100	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig181-snap.144.final_new_mrna	0.000	No mitochondrial presequence	63(MPP)	0.016	22-26	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZE.Contig158.Fgenesh_Neurospora.131.final_new_mrna	0.004	No mitochondrial presequence	12(MPP)	0.083	9-13	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GX.Contig297.eannot.1537.final_new_mrna	0.905	Possessing mitochondrial presequence	32(MPP), 40(Oct1)	0.094		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig459.Fgenesh_histo.79.final_new_mrna	0.007	No mitochondrial presequence	28(MPP)	-0.036	4-8	14-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AZ.Contig47-snap.104.final_new_mrna	0.000	No mitochondrial presequence	21(MPP)	0.000	57-61	15-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GB.Contig114.Fgenesh_histo.17.final_new_mrna	0.000	No mitochondrial presequence	9(MPP)	0.222	60-64	8-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig658.fgenesh_plus.29.final_new_mrna	0.000	No mitochondrial presequence	28(MPP)	-0.036		16-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LY.Contig16.Fgenesh_Aspergillus.33.final_new_mrna	0.000	No mitochondrial presequence	59(MPP)	-0.017	49-53,78-82	11-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig658.eannot.1273.final_new_mrna	0.006	No mitochondrial presequence	35(MPP)	0.171		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1158.Fgenesh_Aspergillus.82.final_new_mrna	0.000	No mitochondrial presequence	25(MPP)	0.040	22-26,70-74	18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig457.fgenesh_plus.123.final_new_mrna	0.006	No mitochondrial presequence	39(MPP)	0.000	81-85	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DF.Contig537.eannot.1394.final_new_mrna	0.091	No mitochondrial presequence	27(MPP)	0.185	8-12	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig68.Fgenesh_histo.22.final_new_mrna	0.011	No mitochondrial presequence	37(MPP), 38(Icp55)	0.081	34-38,57-61,78-82	3-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig233.eannot.1180.final_new_mrna	0.000	No mitochondrial presequence	57(MPP)	0.018	7-11,51-55	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig200.Fgenesh_Aspergillus.9.final_new_mrna	0.000	No mitochondrial presequence	35(MPP)	-0.114	65-69	18-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LF.Contig359-snap.138.final_new_mrna	0.914	Possessing mitochondrial presequence	11(MPP)	0.091		12-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GX.Contig297.Fgenesh_Neurospora.90.final_new_mrna	0.000	No mitochondrial presequence	23(MPP)	0.000		6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GY.Contig460.Fgenesh_Aspergillus.163.final_new_mrna	0.019	No mitochondrial presequence	23(MPP)	0.087	34-38,73-77	12-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GY.Contig460.eannot.1701.final_new_mrna	0.007	No mitochondrial presequence	25(MPP)	0.080	22-26,28-32	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZM.Contig34.eannot.1046.final_new_mrna	0.000	No mitochondrial presequence	38(MPP)	0.000		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127a.Fgenesh_Aspergillus.56.final_new_mrna	0.087	No mitochondrial presequence	35(MPP)	0.057	36-40	7-16-low	-	-	-	-	-	-	-	-	10-15	-	-	-	-	-	
HISTO_KF.Contig597.Fgenesh_Neurospora.128.final_new_mrna	0.004	No mitochondrial presequence	14(MPP)	0.000	60-64,75-79	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AZ.Contig47.eannot.1651.final_new_mrna	0.003	No mitochondrial presequence	78(MPP)	-0.051	37-41,40-44	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig597.Fgenesh_histo.57.final_new_mrna	0.960	Possessing mitochondrial presequence	39(MPP), 47(Oct1)	0.154		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.eannot.2019.final_new_mrna	0.000	No mitochondrial presequence	70(MPP)	0.000		8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZY.Contig562f.Fgenesh_Aspergillus.3.final_new_mrna	0.000	No mitochondrial presequence	26(MPP)	-0.308		6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig597.Fgenesh_histo.118.final_new_mrna	0.022	No mitochondrial presequence	25(MPP)	0.040	66-70,70-74	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig181.eannot.1739.final_new_mrna	0.003	No mitochondrial presequence	25(MPP)	0.000		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161c.Fgenesh_histo.87.final_new_mrna	0.973	Possessing mitochondrial presequence	40(MPP), 48(Oct1)	0.200	11-15,30-34	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LF.Contig359.Fgenesh_Aspergillus.87.final_new_mrna	0.064	No mitochondrial presequence	66(MPP)	0.000	34-38	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93-snap.162.final_new_mrna	0.040	No mitochondrial presequence	43(MPP)	-0.047	3-7,18-22,40-44,79-83	17-26-low	-	-	-	-	-	-	-	-	1-6	-	-	-	-	-	
HISTO_ZZ.Contig127c.Fgenesh_Aspergillus.55.final_new_mrna	0.031	No mitochondrial presequence	31(MPP)	0.129	42-46,88-92	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig1089.Fgenesh_Aspergillus.37.final_new_mrna	0.007	No mitochondrial presequence	8(MPP)	-0.125	51-55	12-23-low	-	-	-	-	-	-	-	-	18-23	-	-	-	-	-	
HISTO_EA.Contig33.genewise.152.final_new_mrna	0.043	No mitochondrial presequence	24(MPP)	0.000	62-66,82-86	7-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LN.Contig13.Fgenesh_Neurospora.2.final_new_mrna	0.026	No mitochondrial presequence	24(MPP)	0.125	6-10,42-46,46-50	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LF.Contig359-snap.142.final_new_mrna	0.000	No mitochondrial presequence	24(MPP)	0.083	21-25	18-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FE.Contig19.eannot.1743.final_new_mrna	0.388	Possessing mitochondrial presequence	42(MPP)	0.167	7-11	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131.genewise.138.final_new_mrna	0.006	No mitochondrial presequence	27(MPP)	0.111		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZE.Contig158.Fgenesh_histo.10.final_new_mrna	0.000	No mitochondrial presequence	65(MPP)	-0.015		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZM.Contig34.Fgenesh_Aspergillus.18.final_new_mrna	0.000	No mitochondrial presequence	60(MPP)	-0.067		2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161a.Fgenesh_Aspergillus.6.final_new_mrna	0.012	No mitochondrial presequence	27(MPP)	0.074		10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127c.eannot.1547.final_new_mrna	0.008	No mitochondrial presequence	62(MPP)	0.016		1-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig940.eannot.1250.final_new_mrna	0.000	No mitochondrial presequence	35(MPP)	0.029		1-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig936.Fgenesh_Neurospora.44.final_new_mrna	0.029	No mitochondrial presequence	46(MPP)	0.000	43-47	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GI.Contig363.Fgenesh_histo.64.final_new_mrna	0.025	No mitochondrial presequence	59(MPP)	0.017	20-24	1-10-low	-	-	-	-	-	-	-	-	-	-	-	19-24	-	-	
HISTO_FE.Contig19.fgenesh_plus.117.final_new_mrna	0.000	No mitochondrial presequence	62(MPP)	0.065		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZU.Contig65.fgenesh_plus.93.final_new_mrna	0.000	No mitochondrial presequence	89(MPP)	-0.034		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GY.Contig460.eannot.1715.final_new_mrna	0.098	No mitochondrial presequence	16(MPP)	0.125	1-5	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	1-6	-	
HISTO_BP.Contig457.eannot.1769.final_new_mrna	0.005	No mitochondrial presequence	7(MPP)	0.143	4-8,86-90	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZE.Contig149.genewise.30.final_new_mrna	0.008	No mitochondrial presequence	8(MPP)	0.375	64-68	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZE.Contig149.Fgenesh_histo.52.final_new_mrna	0.000	No mitochondrial presequence	86(MPP), 87(Icp55)	-0.093		11-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_EA.Contig33.Fgenesh_histo.12.final_new_mrna	0.000	No mitochondrial presequence	53(MPP), 54(Icp55)	-0.057	28-32	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig59.Fgenesh_Aspergillus.25.final_new_mrna	0.004	No mitochondrial presequence	7(MPP)	0.000	36-40	5-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig1128f.eannot.1145.final_new_mrna	0.985	Possessing mitochondrial presequence	47(MPP)	0.128	44-48	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig597.Fgenesh_histo.95.final_new_mrna	0.006	No mitochondrial presequence	11(MPP)	0.182		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LF.Contig359.Fgenesh_histo.311.final_new_mrna	0.009	No mitochondrial presequence	17(MPP)	0.000	8-12,55-59	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig68.Fgenesh_histo.169.final_new_mrna	0.010	No mitochondrial presequence	12(MPP)	0.167	6-10,10-14,14-18	16-25-high	-	-	-	-	6-11,14-19	-	-	-	-	-	-	-	-	-	
HISTO_ZH.Contig107.Fgenesh_histo.18.final_new_mrna	0.008	No mitochondrial presequence	37(MPP), 38(Icp55)	0.108		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.eannot.2037.final_new_mrna	0.003	No mitochondrial presequence	27(MPP)	0.037		10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig59.Fgenesh_histo.61.final_new_mrna	0.000	No mitochondrial presequence	49(MPP)	-0.102		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DU.Contig190.Fgenesh_Aspergillus.36.final_new_mrna	0.005	No mitochondrial presequence	39(MPP)	0.154	1-5	12-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131.eannot.2082.final_new_mrna	0.037	No mitochondrial presequence	15(MPP)	0.333		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AZ.Contig47.Fgenesh_Neurospora.60.final_new_mrna	0.000	No mitochondrial presequence	27(MPP)	0.074		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1117.Fgenesh_Aspergillus.2.final_new_mrna	0.000	No mitochondrial presequence	39(MPP)	-0.128	46-50	17-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig459.eannot.1561.final_new_mrna	0.000	No mitochondrial presequence	26(MPP)	-0.038		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_EA.Contig33.Fgenesh_histo.3.final_new_mrna	0.000	No mitochondrial presequence	31(MPP)	-0.065		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig1128f.Fgenesh_Aspergillus.37.final_new_mrna	0.000	No mitochondrial presequence	28(MPP)	-0.143	95-99	15-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZU.Contig65.eannot.2098.final_new_mrna	0.000	No mitochondrial presequence	38(MPP)	0.105	67-71,74-78,83-87	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LG.Contig392.Fgenesh_Aspergillus.206.final_new_mrna	0.000	No mitochondrial presequence	20(MPP)	-0.050		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JG.Contig206.eannot.1492.final_new_mrna	0.044	No mitochondrial presequence	75(MPP)	0.107	33-37	15-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LG.Contig392.fgenesh_plus.125.final_new_mrna	0.000	No mitochondrial presequence	17(MPP)	0.118		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127a-snap.75.final_new_mrna	0.000	No mitochondrial presequence	38(MPP)	-0.079	63-67,85-89	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93-snap.114.final_new_mrna	0.000	No mitochondrial presequence	50(MPP)	0.060	33-37,47-51	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig597.Fgenesh_Neurospora.59.final_new_mrna	0.074	No mitochondrial presequence	13(MPP)	0.077	25-29	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.fgenesh_plus.176.final_new_mrna	0.065	No mitochondrial presequence	14(MPP)	0.143	75-79	7-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.eannot.1966.final_new_mrna	0.375	No mitochondrial presequence	9(MPP)	0.222	3-7,42-46	3-12-high	-	-	-	-	3-8	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig93.eannot.1765.final_new_mrna	0.078	No mitochondrial presequence	44(MPP)	0.136		15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZY.Contig571f.Fgenesh_histo.35.final_new_mrna	0.000	No mitochondrial presequence	36(MPP)	0.056		18-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_EA.Contig33.eannot.1696.final_new_mrna	0.000	No mitochondrial presequence	40(MPP)	-0.075		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.eannot.2085.final_new_mrna	0.006	No mitochondrial presequence	11(MPP)	0.182		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GY.Contig460.eannot.1686.final_new_mrna	0.115	No mitochondrial presequence	18(MPP)	0.111	16-20,44-48	20-30-high	-	-	-	-	-	-	-	-	14-19	-	13-18	-	-	-	
HISTO_FE.Contig19.Fgenesh_histo.175.final_new_mrna	0.046	No mitochondrial presequence	70(MPP)	0.114	47-51,56-60,59-63,62-66	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KK.Contig134.Fgenesh_histo.5.final_new_mrna	0.000	No mitochondrial presequence	13(MPP)	0.000	66-70	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_SAF.Contig3.fgenesh_plus.1.final_new_mrna	0.011	No mitochondrial presequence	10(MPP)	0.200	21-25,33-37	18-27-low	-	-	-	-	-	-	-	-	-	-	-	20-25	-	-	
HISTO_LG.Contig392.fgenesh_plus.54.final_new_mrna	0.000	No mitochondrial presequence	60(MPP), 61(Icp55)	-0.067	23-27,30-34	12-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DY.Contig31.eannot.1363.final_new_mrna	0.015	No mitochondrial presequence	28(MPP)	0.071		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GY.Contig460.eannot.1674.final_new_mrna	0.012	No mitochondrial presequence	52(MPP)	0.058	24-28,68-72	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig68.Fgenesh_histo.172.final_new_mrna	0.144	No mitochondrial presequence	47(MPP), 48(Icp55)	0.106		18-29-low	-	-	-	-	-	25-30	-	-	-	24-29	-	-	-	-	
HISTO_GI.Contig363.Fgenesh_histo.75.final_new_mrna	0.000	No mitochondrial presequence	12(MPP)	-0.083		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AL.Contig320-snap.10.final_new_mrna	0.000	No mitochondrial presequence	85(MPP)	0.035		14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig940.Fgenesh_Neurospora.1.final_new_mrna	0.020	No mitochondrial presequence	44(MPP)	0.045	7-11	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
